bikeId,bikeTypeId,available,stationId
1,2,1,17
2,2,1,34
3,5,1,42
4,3,1,17
5,4,1,17
6,3,1,34
7,1,1,17
8,2,1,24
9,3,1,17
10,2,1,32
11,5,1,34
12,4,1,32
13,1,1,24
14,2,1,34
15,2,1,24
16,2,1,5
17,3,1,4
18,5,1,17
19,4,1,4
20,5,1,34
21,1,1,4
22,3,1,17
23,3,1,34
24,1,1,24
25,1,1,24
26,1,1,17
27,2,1,34
28,2,1,34
29,3,1,32
30,2,1,34
31,3,1,17
32,5,1,34
33,3,1,24
34,5,1,34
35,5,1,17
36,2,1,17
37,4,1,4
38,4,1,24
39,1,1,32
40,1,1,34
41,1,1,17
42,4,1,34
43,3,1,32
44,5,1,17
45,1,1,34
46,4,1,34
47,3,1,34
48,4,1,4
49,3,1,17
50,1,1,17
51,3,1,24
52,4,1,34
53,3,1,32
54,4,1,17
55,3,1,34
56,3,1,17
57,4,1,34
58,3,1,4
59,4,1,34
60,4,1,17
61,1,1,5
62,2,1,42
63,5,1,4
64,5,1,17
65,1,1,34
66,4,1,34
67,5,1,5
68,1,1,34
69,1,1,4
70,3,1,24
71,1,1,5
72,3,1,34
73,1,1,34
74,4,1,33
75,1,1,17
76,4,1,17
77,2,1,34
78,5,1,33
79,1,1,5
80,5,1,5
81,5,1,4
82,3,1,24
83,4,1,34
84,5,1,17
85,4,1,33
86,1,1,17
87,4,1,24
88,4,1,24
89,1,1,34
90,1,1,33
91,3,1,24
92,4,1,33
93,1,1,17
94,2,1,4
95,3,1,4
96,5,1,5
97,2,1,24
98,1,1,32
99,5,1,34
100,3,1,17
101,2,1,4
102,5,1,32
103,1,1,33
104,2,1,32
105,4,1,17
106,4,1,24
107,1,1,5
108,4,1,34
109,4,1,34
110,3,1,34
111,4,1,24
112,4,1,17
113,4,1,34
114,4,1,33
115,3,1,33
116,3,1,4
117,4,1,24
118,2,1,24
119,2,1,33
120,4,1,34
121,4,1,17
122,5,1,24
123,3,1,33
124,3,1,17
125,5,1,17
126,3,1,34
127,4,1,33
128,5,1,24
129,2,1,34
130,5,1,4
131,3,1,24
132,1,1,24
133,5,1,34
134,2,1,42
135,3,1,24
136,4,1,5
137,1,1,34
138,5,1,24
139,3,1,34
140,3,1,32
141,2,1,34
142,2,1,5
143,2,1,17
144,5,1,32
145,4,1,24
146,5,1,32
147,3,1,17
148,2,1,17
149,4,1,34
150,1,1,17
151,1,1,17
152,5,1,17
153,3,1,24
154,3,1,17
155,4,1,34
156,2,1,5
157,1,1,17
158,3,1,17
159,1,1,24
160,2,1,24
161,5,1,34
162,4,1,5
163,1,1,34
164,5,1,24
165,2,1,34
166,5,1,4
167,2,1,32
168,1,1,24
169,1,1,17
170,5,1,24
171,4,1,42
172,4,1,24
173,2,1,32
174,5,1,32
175,2,1,32
176,5,1,32
177,2,1,17
178,3,1,24
179,3,1,4
180,2,1,34
181,3,1,34
182,2,1,34
183,3,1,24
184,1,1,5
185,4,1,33
186,4,1,24
187,2,1,17
188,2,1,34
189,2,1,24
190,1,1,24
191,3,1,24
192,1,1,34
193,5,1,17
194,4,1,34
195,5,1,34
196,2,1,5
197,4,1,17
198,1,1,5
199,4,1,34
200,2,1,24
201,3,1,32
202,1,1,17
203,4,1,4
204,2,1,24
205,2,1,17
206,5,1,19
207,2,1,17
208,3,1,23
209,5,1,17
210,4,1,32
211,5,1,17
212,3,1,34
213,1,1,42
214,2,1,17
215,1,1,34
216,2,1,24
217,4,1,17
218,1,1,4
219,5,1,17
220,5,1,24
221,2,1,17
222,3,1,33
223,2,1,32
224,2,1,34
225,3,1,32
226,1,1,17
227,2,1,5
228,3,1,34
229,4,1,4
230,4,1,34
231,1,1,24
232,5,1,4
233,4,1,17
234,3,1,42
235,4,1,34
236,1,1,24
237,2,1,17
238,1,1,32
239,3,1,3
240,5,1,5
241,2,1,5
242,5,1,17
243,4,1,17
244,2,1,17
245,1,1,17
246,5,1,17
247,2,1,34
248,1,1,17
249,2,1,24
250,5,1,34
251,3,1,32
252,4,1,32
253,4,1,23
254,1,1,24
255,2,1,34
256,1,1,33
257,4,1,17
258,3,1,32
259,4,1,17
260,1,1,34
261,5,1,24
262,3,1,4
263,4,1,5
264,1,1,32
265,2,1,17
266,4,1,4
267,2,1,17
268,3,1,34
269,5,1,24
270,2,1,5
271,3,1,19
272,4,1,17
273,3,1,34
274,2,1,5
275,3,1,34
276,4,1,5
277,1,1,24
278,4,1,17
279,1,1,19
280,4,1,34
281,2,1,24
282,2,1,17
283,5,1,24
284,2,1,17
285,4,1,32
286,4,1,24
287,1,1,24
288,4,1,24
289,2,1,34
290,2,1,24
291,5,1,5
292,3,1,34
293,3,1,4
294,5,1,17
295,4,1,34
296,5,1,17
297,1,1,5
298,1,1,34
299,4,1,23
300,5,1,19
301,3,1,5
302,2,1,34
303,1,1,32
304,2,1,24
305,5,1,5
306,3,1,17
307,4,1,32
308,5,1,24
309,5,1,24
310,5,1,17
311,5,1,24
312,3,1,5
313,3,1,5
314,1,1,24
315,4,1,17
316,1,1,42
317,2,1,17
318,3,1,5
319,3,1,33
320,4,1,34
321,5,1,34
322,3,1,24
323,4,1,24
324,2,1,18
325,5,1,32
326,3,1,19
327,3,1,32
328,3,1,5
329,3,1,19
330,2,1,33
331,5,1,34
332,3,1,17
333,1,1,24
334,2,1,17
335,5,1,19
336,1,1,32
337,2,1,24
338,4,1,17
339,5,1,34
340,3,1,34
341,1,1,34
342,3,1,4
343,5,1,15
344,1,1,17
345,4,1,24
346,5,1,15
347,3,1,24
348,5,1,34
349,3,1,19
350,4,1,3
351,1,1,5
352,4,1,23
353,3,1,17
354,3,1,23
355,1,1,42
356,1,1,34
357,3,1,5
358,5,1,32
359,1,1,15
360,2,1,24
361,4,1,17
362,5,1,34
363,3,1,34
364,5,1,24
365,1,1,24
366,2,1,16
367,4,1,16
368,1,1,18
369,1,1,24
370,3,1,16
371,3,1,19
372,3,1,24
373,2,1,34
374,2,1,34
375,1,1,16
376,3,1,24
377,3,1,32
378,3,1,3
379,2,1,5
380,2,1,4
381,5,1,24
382,2,1,3
383,5,1,23
384,4,1,5
385,2,1,5
386,2,1,3
387,5,1,18
388,4,1,23
389,5,1,24
390,4,1,16
391,5,1,23
392,5,1,24
393,4,1,23
394,1,1,24
395,4,1,34
396,1,1,23
397,4,1,17
398,4,1,17
399,4,1,34
400,2,1,3
401,5,1,42
402,3,1,32
403,1,1,23
404,3,1,5
405,3,1,33
406,2,1,24
407,1,1,24
408,1,1,5
409,1,1,23
410,1,1,16
411,4,1,11
412,5,1,4
413,2,1,34
414,4,1,11
415,1,1,5
416,1,1,24
417,2,1,17
418,1,1,42
419,3,1,34
420,5,1,34
421,4,1,16
422,4,1,34
423,4,1,32
424,2,1,23
425,5,1,23
426,1,1,32
427,1,1,24
428,2,1,19
429,3,1,32
430,5,1,24
431,1,1,5
432,2,1,5
433,4,1,3
434,3,1,32
435,2,1,17
436,3,1,4
437,3,1,34
438,1,1,5
439,2,1,42
440,3,1,42
441,2,1,24
442,1,1,17
443,2,1,17
444,1,1,5
445,5,1,34
446,2,1,34
447,3,1,32
448,5,1,33
449,4,1,17
450,3,1,17
451,3,1,34
452,2,1,34
453,4,1,5
454,1,1,3
455,3,1,24
456,1,1,17
457,2,1,5
458,1,1,5
459,3,1,3
460,4,1,3
461,5,1,33
462,1,1,33
463,3,1,34
464,4,1,34
465,4,1,34
466,5,1,17
467,2,1,19
468,1,1,32
469,5,1,24
470,4,1,33
471,5,1,24
472,4,1,24
